 ⌚  watch                                                          
 🥟   dumpling                                                       
 🥬   leafy green                                                    
 🥱  yawning face                                                   
 🥲  smiling face with tear                                         
 🥳   partying face                                                  
 🥷.  ninja                                                          
 🥺  pleading face                                                  
 🥻  sari                                                           
 🥼   lab coat                                                       
 🦀   crab                                                           
 🦅   eagle                                                          
 🦒   giraffe                                                        
 🦘   kangaroo                                                       
 🦣.  mammoth                                                        
 🦥   sloth                                                          
 🦫.  beaver                                                         
 🦮   guide dog                                                      
 🦰   red hair                                                       
 🦺   safety vest                                                    
 🧀  cheese wedge                                                   
 🧁   cupcake                                                        
 🧃   beverage box                                                   
 🧋  bubble tea                                                     
 🧍   person standing                                                
 🧐   face with monocle                                              
 🧧   red envelope                                                   
 🩰   ballet shoes                                                   
 🩴  thong sandal                                                   
 🩸   drop of blood                                                  
 🪀   yo-yo                                                          
 🪃.  boomerang                                                      
 🪐   ringed planet                                                  
 🪖.  military helmet                                                
 🪰.  fly                                                            
 🫀.  anatomical heart                                               
 🫐.  blueberries                                                    
 ©️  copyright                                                      
 ®️  registered                                                     
 ‼️  double exclamation mark                                        
 ⁉️  exclamation question mark                                      
 ™️  trade mark                                                     
 ℹ️  information                                                    
 ↔️  left-right arrow                                               
 ↕️  up-down arrow                                                  
 ↖️  up-left arrow                                                  
 ↗️  up-right arrow                                                 
 ↘️  down-right arrow                                               
 ↙️  down-left arrow                                                
 ↩️  right arrow curving left                                       
 ↪️  left arrow curving right                                       
 ⌨️  keyboard                                                       
 ⏏️  eject button                                                   
 ⏭️  next track button                                              
 ⏮️  last track button                                              
 ⏯️  play or pause button                                           
 ⏱️  stopwatch                                                      
 ⏲️  timer clock                                                    
 ⏸️  pause button                                                   
 ⏹️  stop button                                                    
 ⏺️  record button                                                  
 Ⓜ️  circled M                                                      
 ▪️  black small square                                             
 ▫️  white small square                                             
 ▶️  play button                                                    
 ◀️  reverse button                                                 
 ◻️  white medium square                                            
 ◼️  black medium square                                            
 ☀️  sun                                                            
 ☁️  cloud                                                          
 ☂️  umbrella                                                       
 ☃️  snowman                                                        
 ☄️  comet                                                          
 ☎️  telephone                                                      
 ☑️  check box with check                                           
 ☘️  shamrock                                                       
 ☝️  index pointing up                                              
 ☠️  skull and crossbones                                           
 ☢️  radioactive                                                    
 ☣️  biohazard                                                      
 ☦️  orthodox cross                                                 
 ☪️  star and crescent                                              
 ☮️  peace symbol                                                   
 ☯️  yin yang                                                       
 ☸️  wheel of dharma                                                
 ☹️  frowning face                                                  
 ☺️  smiling face                                                   
 ♀️  female sign                                                    
 ♂️  male sign                                                      
 ♟️  chess pawn                                                     
 ♠️  spade suit                                                     
 ♣️  club suit                                                      
 ♥️  heart suit                                                     
 ♦️  diamond suit                                                   
 ♨️  hot springs                                                    
 ♻️  recycling symbol                                               
 ♾️  infinity                                                       
 ⚒️  hammer and pick                                                
 ⚔️  crossed swords                                                 
 ⚕️  medical symbol                                                 
 ⚖️  balance scale                                                  
 ⚗️  alembic                                                        
 ⚙️  gear                                                           
 ⚛️  atom symbol                                                    
 ⚜️  fleur-de-lis                                                   
 ⚠️  warning                                                        
 ⚧️  transgender symbol                                             
 ⚰️  coffin                                                         
 ⚱️  funeral urn                                                    
 ⛈️  cloud with lightning and rain                                  
 ⛏️  pick                                                           
 ⛑️  rescue worker’s helmet                                         
 ⛓️  chains                                                         
 ⛩️  shinto shrine                                                  
 ⛰️  mountain                                                       
 ⛱️  umbrella on ground                                             
 ⛴️  ferry                                                          
 ⛷️  skier                                                          
 ⛸️  ice skate                                                      
 ⛹️  person bouncing ball                                           
 ✂️  scissors                                                       
 ✈️  airplane                                                       
 ✉️  envelope                                                       
 ✌️  victory hand                                                   
 ✍️  writing hand                                                   
 ✏️  pencil                                                         
 ✒️  black nib                                                      
 ✔️  check mark                                                     
 ✖️  multiply                                                       
 ✝️  latin cross                                                    
 ✡️  star of David                                                  
 ✳️  eight-spoked asterisk                                          
 ✴️  eight-pointed star                                             
 ❄️  snowflake                                                      
 ❇️  sparkle                                                        
 ❣️  heart exclamation                                              
 ❤️  red heart                                                      
 ➡️  right arrow                                                    
 ⤴️  right arrow curving up                                         
 ⤵️  right arrow curving down                                       
 ⬅️  left arrow                                                     
 ⬆️  up arrow                                                       
 ⬇️  down arrow                                                     
 〰️  wavy dash                                                      
 〽️  part alternation mark                                          
 ㊗️  Japanese “congratulations” button                              
 ㊙️  Japanese “secret” button                                       
 )      A button (blood type                                          🅰️
 )      B button (blood type                                          🅱️
 )      O button (blood type                                          🅾️
 🅿️  P button                                                       
 🈂️  Japanese “service charge” button                               
 🈷️  Japanese “monthly amount” button                               
 🌡️  thermometer                                                    
 🌤️  sun behind small cloud                                         
 🌥️  sun behind large cloud                                         
 🌦️  sun behind rain cloud                                          
 🌧️  cloud with rain                                                
 🌨️  cloud with snow                                                
 🌩️  cloud with lightning                                           
 🌪️  tornado                                                        
 🌫️  fog                                                            
 🌬️  wind face                                                      
 🌶️  hot pepper                                                     
 🍽️  fork and knife with plate                                      
 🎖️  military medal                                                 
 🎗️  reminder ribbon                                                
 🎙️  studio microphone                                              
 🎚️  level slider                                                   
 🎛️  control knobs                                                  
 🎞️  film frames                                                    
 🎟️  admission tickets                                              
 🏋️  person lifting weights                                         
 🏌️  person golfing                                                 
 🏍️  motorcycle                                                     
 🏎️  racing car                                                     
 🏔️  snow-capped mountain                                           
 🏕️  camping                                                        
 🏖️  beach with umbrella                                            
 🏗️  building construction                                          
 🏘️  houses                                                         
 🏙️  cityscape                                                      
 🏚️  derelict house                                                 
 🏛️  classical building                                             
 🏜️  desert                                                         
 🏝️  desert island                                                  
 🏞️  national park                                                  
 🏟️  stadium                                                        
 🏳️  white flag                                                     
 🏵️  rosette                                                        
 🏷️  label                                                          
 🐿️  chipmunk                                                       
 👁️  eye                                                            
 📽️  film projector                                                 
 🕉️  om                                                             
 🕊️  dove                                                           
 🕯️  candle                                                         
 🕰️  mantelpiece clock                                              
 🕳️  hole                                                           
 🕴️  person in suit levitating                                      
 🕵️  detective                                                      
 🕶️  sunglasses                                                     
 🕷️  spider                                                         
 🕸️  spider web                                                     
 🕹️  joystick                                                       
 🖇️  linked paperclips                                              
 🖊️  pen                                                            
 🖋️  fountain pen                                                   
 🖌️  paintbrush                                                     
 🖍️  crayon                                                         
 🖐️  hand with fingers splayed                                      
 🖥️  desktop computer                                               
 🖨️  printer                                                        
 🖱️  computer mouse                                                 
 🖲️  trackball                                                      
 🖼️  framed picture                                                 
 🗂️  card index dividers                                            
 🗃️  card file box                                                  
 🗄️  file cabinet                                                   
 🗑️  wastebasket                                                    
 🗒️  spiral notepad                                                 
 🗓️  spiral calendar                                                
 🗜️  clamp                                                          
 🗝️  old key                                                        
 🗞️  rolled-up newspaper                                            
 🗡️  dagger                                                         
 🗣️  speaking head                                                  
 🗨️  left speech bubble                                             
 🗯️  right anger bubble                                             
 🗳️  ballot box with ballot                                         
 🗺️  world map                                                      
 🛋️  couch and lamp                                                 
 🛍️  shopping bags                                                  
 🛎️  bellhop bell                                                   
 🛏️  bed                                                            
 🛠️  hammer and wrench                                              
 🛡️  shield                                                         
 🛢️  oil drum                                                       
 🛣️  motorway                                                       
 🛤️  railway track                                                  
 🛥️  motor boat                                                     
 🛩️  small airplane                                                 
 🛰️  satellite                                                      
 🛳️  passenger ship                                                 
 #️⃣  keycap: \x{23}                                                 
 *️⃣  keycap: *                                                      
 0️⃣  keycap: 0                                                      
 1️⃣  keycap: 1                                                      
 2️⃣  keycap: 2                                                      
 3️⃣  keycap: 3                                                      
 4️⃣  keycap: 4                                                      
 5️⃣  keycap: 5                                                      
 6️⃣  keycap: 6                                                      
 7️⃣  keycap: 7                                                      
 8️⃣  keycap: 8                                                      
 9️⃣  keycap: 9                                                      
 🇦🇨  flag: Ascension Island                                         
 🇦🇩  flag: Andorra                                                  
 🇦🇪  flag: United Arab Emirates                                     
 🇦🇫  flag: Afghanistan                                              
 🇦🇬  flag: Antigua & Barbuda                                        
 🇦🇮  flag: Anguilla                                                 
 🇦🇱  flag: Albania                                                  
 🇦🇲  flag: Armenia                                                  
 🇦🇴  flag: Angola                                                   
 🇦🇶  flag: Antarctica                                               
 🇦🇷  flag: Argentina                                                
 🇦🇸  flag: American Samoa                                           
 🇦🇹  flag: Austria                                                  
 🇦🇺  flag: Australia                                                
 🇦🇼  flag: Aruba                                                    
 🇦🇽  flag: Åland Islands                                            
 🇦🇿  flag: Azerbaijan                                               
 🇧🇦  flag: Bosnia & Herzegovina                                     
 🇧🇧  flag: Barbados                                                 
 🇧🇩  flag: Bangladesh                                               
 🇧🇪  flag: Belgium                                                  
 🇧🇫  flag: Burkina Faso                                             
 🇧🇬  flag: Bulgaria                                                 
 🇧🇭  flag: Bahrain                                                  
 🇧🇮  flag: Burundi                                                  
 🇧🇯  flag: Benin                                                    
 🇧🇱  flag: St. Barthélemy                                           
 🇧🇲  flag: Bermuda                                                  
 🇧🇳  flag: Brunei                                                   
 🇧🇴  flag: Bolivia                                                  
 🇧🇶  flag: Caribbean Netherlands                                    
 🇧🇷  flag: Brazil                                                   
 🇧🇸  flag: Bahamas                                                  
 🇧🇹  flag: Bhutan                                                   
 🇧🇻  flag: Bouvet Island                                            
 🇧🇼  flag: Botswana                                                 
 🇧🇾  flag: Belarus                                                  
 🇧🇿  flag: Belize                                                   
 🇨🇦  flag: Canada                                                   
  🇨  flag: Cocos (Keeling Islands                                   
 🇨🇩  flag: Congo - Kinshasa                                         
 🇨🇫  flag: Central African Republic                                 
 🇨🇬  flag: Congo - Brazzaville                                      
 🇨🇭  flag: Switzerland                                              
 🇨🇮  flag: Côte d’Ivoire                                            
 🇨🇰  flag: Cook Islands                                             
 🇨🇱  flag: Chile                                                    
 🇨🇲  flag: Cameroon                                                 
 🇨🇳  flag: China                                                    
 🇨🇴  flag: Colombia                                                 
 🇨🇵  flag: Clipperton Island                                        
 🇨🇷  flag: Costa Rica                                               
 🇨🇺  flag: Cuba                                                     
 🇨🇻  flag: Cape Verde                                               
 🇨🇼  flag: Curaçao                                                  
 🇨🇽  flag: Christmas Island                                         
 🇨🇾  flag: Cyprus                                                   
 🇨🇿  flag: Czechia                                                  
 🇩🇪  flag: Germany                                                  
 🇩🇬  flag: Diego Garcia                                             
 🇩🇯  flag: Djibouti                                                 
 🇩🇰  flag: Denmark                                                  
 🇩🇲  flag: Dominica                                                 
 🇩🇴  flag: Dominican Republic                                       
 🇩🇿  flag: Algeria                                                  
 🇪🇦  flag: Ceuta & Melilla                                          
 🇪🇨  flag: Ecuador                                                  
 🇪🇪  flag: Estonia                                                  
 🇪🇬  flag: Egypt                                                    
 🇪🇭  flag: Western Sahara                                           
 🇪🇷  flag: Eritrea                                                  
 🇪🇸  flag: Spain                                                    
 🇪🇹  flag: Ethiopia                                                 
 🇪🇺  flag: European Union                                           
 🇫🇮  flag: Finland                                                  
 🇫🇯  flag: Fiji                                                     
 🇫🇰  flag: Falkland Islands                                         
 🇫🇲  flag: Micronesia                                               
 🇫🇴  flag: Faroe Islands                                            
 🇫🇷  flag: France                                                   
 🇬🇦  flag: Gabon                                                    
 🇬🇧  flag: United Kingdom                                           
 🇬🇩  flag: Grenada                                                  
 🇬🇪  flag: Georgia                                                  
 🇬🇫  flag: French Guiana                                            
 🇬🇬  flag: Guernsey                                                 
 🇬🇭  flag: Ghana                                                    
 🇬🇮  flag: Gibraltar                                                
 🇬🇱  flag: Greenland                                                
 🇬🇲  flag: Gambia                                                   
 🇬🇳  flag: Guinea                                                   
 🇬🇵  flag: Guadeloupe                                               
 🇬🇶  flag: Equatorial Guinea                                        
 🇬🇷  flag: Greece                                                   
 🇬🇸  flag: South Georgia & South Sandwich Islands                   
 🇬🇹  flag: Guatemala                                                
 🇬🇺  flag: Guam                                                     
 🇬🇼  flag: Guinea-Bissau                                            
 🇬🇾  flag: Guyana                                                   
 🇭🇰  flag: Hong Kong SAR China                                      
 🇭🇲  flag: Heard & McDonald Islands                                 
 🇭🇳  flag: Honduras                                                 
 🇭🇷  flag: Croatia                                                  
 🇭🇹  flag: Haiti                                                    
 🇭🇺  flag: Hungary                                                  
 🇮🇨  flag: Canary Islands                                           
 🇮🇩  flag: Indonesia                                                
 🇮🇪  flag: Ireland                                                  
 🇮🇱  flag: Israel                                                   
 🇮🇲  flag: Isle of Man                                              
 🇮🇳  flag: India                                                    
 🇮🇴  flag: British Indian Ocean Territory                           
 🇮🇶  flag: Iraq                                                     
 🇮🇷  flag: Iran                                                     
 🇮🇸  flag: Iceland                                                  
 🇮🇹  flag: Italy                                                    
 🇯🇪  flag: Jersey                                                   
 🇯🇲  flag: Jamaica                                                  
 🇯🇴  flag: Jordan                                                   
 🇯🇵  flag: Japan                                                    
 🇰🇪  flag: Kenya                                                    
 🇰🇬  flag: Kyrgyzstan                                               
 🇰🇭  flag: Cambodia                                                 
 🇰🇮  flag: Kiribati                                                 
 🇰🇲  flag: Comoros                                                  
 🇰🇳  flag: St. Kitts & Nevis                                        
 🇰🇵  flag: North Korea                                              
 🇰🇷  flag: South Korea                                              
 🇰🇼  flag: Kuwait                                                   
 🇰🇾  flag: Cayman Islands                                           
 🇰🇿  flag: Kazakhstan                                               
 🇱🇦  flag: Laos                                                     
 🇱🇧  flag: Lebanon                                                  
 🇱🇨  flag: St. Lucia                                                
 🇱🇮  flag: Liechtenstein                                            
 🇱🇰  flag: Sri Lanka                                                
 🇱🇷  flag: Liberia                                                  
 🇱🇸  flag: Lesotho                                                  
 🇱🇹  flag: Lithuania                                                
 🇱🇺  flag: Luxembourg                                               
 🇱🇻  flag: Latvia                                                   
 🇱🇾  flag: Libya                                                    
 🇲🇦  flag: Morocco                                                  
 🇲🇨  flag: Monaco                                                   
 🇲🇩  flag: Moldova                                                  
 🇲🇪  flag: Montenegro                                               
 🇲🇫  flag: St. Martin                                               
 🇲🇬  flag: Madagascar                                               
 🇲🇭  flag: Marshall Islands                                         
 🇲🇰  flag: North Macedonia                                          
 🇲🇱  flag: Mali                                                     
  🇲)  flag: Myanmar (Burma                                           
 🇲🇳  flag: Mongolia                                                 
 🇲🇴  flag: Macao SAR China                                          
 🇲🇵  flag: Northern Mariana Islands                                 
 🇲🇶  flag: Martinique                                               
 🇲🇷  flag: Mauritania                                               
 🇲🇸  flag: Montserrat                                               
 🇲🇹  flag: Malta                                                    
 🇲🇺  flag: Mauritius                                                
 🇲🇻  flag: Maldives                                                 
 🇲🇼  flag: Malawi                                                   
 🇲🇽  flag: Mexico                                                   
 🇲🇾  flag: Malaysia                                                 
 🇲🇿  flag: Mozambique                                               
 🇳🇦  flag: Namibia                                                  
 🇳🇨  flag: New Caledonia                                            
 🇳🇪  flag: Niger                                                    
 🇳🇫  flag: Norfolk Island                                           
 🇳🇬  flag: Nigeria                                                  
 🇳🇮  flag: Nicaragua                                                
 🇳🇱  flag: Netherlands                                              
 🇳🇴  flag: Norway                                                   
 🇳🇵  flag: Nepal                                                    
 🇳🇷  flag: Nauru                                                    
 🇳🇺  flag: Niue                                                     
 🇳🇿  flag: New Zealand                                              
 🇴🇲  flag: Oman                                                     
 🇵🇦  flag: Panama                                                   
 🇵🇪  flag: Peru                                                     
 🇵🇫  flag: French Polynesia                                         
 🇵🇬  flag: Papua New Guinea                                         
 🇵🇭  flag: Philippines                                              
 🇵🇰  flag: Pakistan                                                 
 🇵🇱  flag: Poland                                                   
 🇵🇲  flag: St. Pierre & Miquelon                                    
 🇵🇳  flag: Pitcairn Islands                                         
 🇵🇷  flag: Puerto Rico                                              
 🇵🇸  flag: Palestinian Territories                                  
 🇵🇹  flag: Portugal                                                 
 🇵🇼  flag: Palau                                                    
 🇵🇾  flag: Paraguay                                                 
 🇶🇦  flag: Qatar                                                    
 🇷🇪  flag: Réunion                                                  
 🇷🇴  flag: Romania                                                  
 🇷🇸  flag: Serbia                                                   
 🇷🇺  flag: Russia                                                   
 🇷🇼  flag: Rwanda                                                   
 🇸🇦  flag: Saudi Arabia                                             
 🇸🇧  flag: Solomon Islands                                          
 🇸🇨  flag: Seychelles                                               
 🇸🇩  flag: Sudan                                                    
 🇸🇪  flag: Sweden                                                   
 🇸🇬  flag: Singapore                                                
 🇸🇭  flag: St. Helena                                               
 🇸🇮  flag: Slovenia                                                 
 🇸🇯  flag: Svalbard & Jan Mayen                                     
 🇸🇰  flag: Slovakia                                                 
 🇸🇱  flag: Sierra Leone                                             
 🇸🇲  flag: San Marino                                               
 🇸🇳  flag: Senegal                                                  
 🇸🇴  flag: Somalia                                                  
 🇸🇷  flag: Suriname                                                 
 🇸🇸  flag: South Sudan                                              
 🇸🇹  flag: São Tomé & Príncipe                                      
 🇸🇻  flag: El Salvador                                              
 🇸🇽  flag: Sint Maarten                                             
 🇸🇾  flag: Syria                                                    
 🇸🇿  flag: Eswatini                                                 
 🇹🇦  flag: Tristan da Cunha                                         
 🇹🇨  flag: Turks & Caicos Islands                                   
 🇹🇩  flag: Chad                                                     
 🇹🇫  flag: French Southern Territories                              
 🇹🇬  flag: Togo                                                     
 🇹🇭  flag: Thailand                                                 
 🇹🇯  flag: Tajikistan                                               
 🇹🇰  flag: Tokelau                                                  
 🇹🇱  flag: Timor-Leste                                              
 🇹🇲  flag: Turkmenistan                                             
 🇹🇳  flag: Tunisia                                                  
 🇹🇴  flag: Tonga                                                    
 🇹🇷  flag: Turkey                                                   
 🇹🇹  flag: Trinidad & Tobago                                        
 🇹🇻  flag: Tuvalu                                                   
 🇹🇼  flag: Taiwan                                                   
 🇹🇿  flag: Tanzania                                                 
 🇺🇦  flag: Ukraine                                                  
 🇺🇬  flag: Uganda                                                   
 🇺🇲  flag: U.S. Outlying Islands                                    
 🇺🇳  flag: United Nations                                           
 🇺🇸  flag: United States                                            
 🇺🇾  flag: Uruguay                                                  
 🇺🇿  flag: Uzbekistan                                               
 🇻🇦  flag: Vatican City                                             
 🇻🇨  flag: St. Vincent & Grenadines                                 
 🇻🇪  flag: Venezuela                                                
 🇻🇬  flag: British Virgin Islands                                   
 🇻🇮  flag: U.S. Virgin Islands                                      
 🇻🇳  flag: Vietnam                                                  
 🇻🇺  flag: Vanuatu                                                  
 🇼🇫  flag: Wallis & Futuna                                          
 🇼🇸  flag: Samoa                                                    
 🇽🇰  flag: Kosovo                                                   
 🇾🇪  flag: Yemen                                                    
 🇾🇹  flag: Mayotte                                                  
 🇿🇦  flag: South Africa                                             
 🇿🇲  flag: Zambia                                                   
 🇿🇼  flag: Zimbabwe                                                 
 ☝🏻  index pointing up: light skin tone                             
 ☝🏼  index pointing up: medium-light skin tone                      
 ☝🏽  index pointing up: medium skin tone                            
 ☝🏾  index pointing up: medium-dark skin tone                       
 ☝🏿  index pointing up: dark skin tone                              
 ⛹🏻  person bouncing ball: light skin tone                          
 ⛹🏼  person bouncing ball: medium-light skin tone                   
 ⛹🏽  person bouncing ball: medium skin tone                         
 ⛹🏾  person bouncing ball: medium-dark skin tone                    
 ⛹🏿  person bouncing ball: dark skin tone                           
 ✊🏻  raised fist: light skin tone                                   
 ✊🏼  raised fist: medium-light skin tone                            
 ✊🏽  raised fist: medium skin tone                                  
 ✊🏾  raised fist: medium-dark skin tone                             
 ✊🏿  raised fist: dark skin tone                                    
 ✋🏻  raised hand: light skin tone                                   
 ✋🏼  raised hand: medium-light skin tone                            
 ✋🏽  raised hand: medium skin tone                                  
 ✋🏾  raised hand: medium-dark skin tone                             
 ✋🏿  raised hand: dark skin tone                                    
 ✌🏻  victory hand: light skin tone                                  
 ✌🏼  victory hand: medium-light skin tone                           
 ✌🏽  victory hand: medium skin tone                                 
 ✌🏾  victory hand: medium-dark skin tone                            
 ✌🏿  victory hand: dark skin tone                                   
 ✍🏻  writing hand: light skin tone                                  
 ✍🏼  writing hand: medium-light skin tone                           
 ✍🏽  writing hand: medium skin tone                                 
 ✍🏾  writing hand: medium-dark skin tone                            
 ✍🏿  writing hand: dark skin tone                                   
 🎅🏻  Santa Claus: light skin tone                                   
 🎅🏼  Santa Claus: medium-light skin tone                            
 🎅🏽  Santa Claus: medium skin tone                                  
 🎅🏾  Santa Claus: medium-dark skin tone                             
 🎅🏿  Santa Claus: dark skin tone                                    
 🏂🏻  snowboarder: light skin tone                                   
 🏂🏼  snowboarder: medium-light skin tone                            
 🏂🏽  snowboarder: medium skin tone                                  
 🏂🏾  snowboarder: medium-dark skin tone                             
 🏂🏿  snowboarder: dark skin tone                                    
 🏃🏻  person running: light skin tone                                
 🏃🏼  person running: medium-light skin tone                         
 🏃🏽  person running: medium skin tone                               
 🏃🏾  person running: medium-dark skin tone                          
 🏃🏿  person running: dark skin tone                                 
 🏄🏻  person surfing: light skin tone                                
 🏄🏼  person surfing: medium-light skin tone                         
 🏄🏽  person surfing: medium skin tone                               
 🏄🏾  person surfing: medium-dark skin tone                          
 🏄🏿  person surfing: dark skin tone                                 
 🏇🏻  horse racing: light skin tone                                  
 🏇🏼  horse racing: medium-light skin tone                           
 🏇🏽  horse racing: medium skin tone                                 
 🏇🏾  horse racing: medium-dark skin tone                            
 🏇🏿  horse racing: dark skin tone                                   
 🏊🏻  person swimming: light skin tone                               
 🏊🏼  person swimming: medium-light skin tone                        
 🏊🏽  person swimming: medium skin tone                              
 🏊🏾  person swimming: medium-dark skin tone                         
 🏊🏿  person swimming: dark skin tone                                
 🏋🏻  person lifting weights: light skin tone                        
 🏋🏼  person lifting weights: medium-light skin tone                 
 🏋🏽  person lifting weights: medium skin tone                       
